Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status
Infinidome LTD (GPSDOME),https://www.crunchbase.com/organization/gpsdome,"Autonomous Vehicles, Cyber Security, Drones, GPS, Homeland Security","Caesarea, Hefa, Israel","nfiniDome – The Wireless Security Company, develops detection & protection solutions for wireless communications of connected and autonomous","28,878",6/5/16,day,http://www.infinidome.com,info@infinidome.com,"infiniDome – The Wireless Security Company, develops detection & protection solutions for wireless communications of connected and autonomous vehicles & UAVs from jamming and spoofing attacks. Based on its proprietary RFIC, infiniDome creates the world's first one-stop-shop wireless end-to-end protection solution not only detecting but also protecting from jamming and spoofing of GPS (GNSS), V2X, cellular and other wireless sensors signals which are essential for localization, sensor-fusion, short-range communications and SOC communication & monitoring. infiniDome's first product, GPSdome, the first ever non-military GPS anti-jammer / anti-spoofer, is commercially available and already deployed worldwide protecting trucks, UAVs and cars.",1100000,USD,1100000,Seed
"Zartech, Inc.",https://www.crunchbase.com/organization/zartech-inc,"B2B, Cloud Security, Cyber Security, Information Services, Management Consulting, SaaS, Training","Dallas, Texas, United States",Cybersecurity Products & Advisory Services Firm,"44,392",6/15/16,day,https://zartech.net/,info@zartech.net,"We help organizations improve their cyber security defenses, reduce business risk, and meet regulatory compliance needs How We Do IT:  Our unique IT GRC solution help more effectively identify/manage cyber risk by leveraging its intelligence in merging and mapping cybersecurity frameworks against  organization's existing and future posture, providing automatic tracking of all identified gap remediation efforts, along with full control of security road-map development.  Who We Are:  Our team of senior level security practitioners have worked at both small and large companies/government organizations around the world.",500000,USD,500000,Seed
AttackFlow,https://www.crunchbase.com/organization/attackflow,"Cyber Security, Information Technology","San Francisco, California, United States",AttackFlow is a static code analysis company which develops innovative solutions for secure app development.,"155,751",7/1/16,day,http://www.attackflow.com/,info@attackflow.com,"AttackFlow helps customers to identify weaknesses in their software before hackers do. Using a real-time static analytical solution integrated directly into the development environment, developers can identify and locate vulnerabilities in their software as they code.",,,,Seed
Socian Ltd,https://www.crunchbase.com/organization/socian-ai,"Artificial Intelligence, Cyber Security, National Security, Network Security, Security, Speech Recognition, Text Analytics, Visual Search","Dhaka, Dhaka, Bangladesh","AI based Actionable Intelligence Company specializing in Speech, Visual, Textual & Cyber Analysis on Digital & Social Media in 81 languages","64,830",7/18/16,day,https://socian.ai,tanvir@socian.ai,,100625,USD,100625,Seed
Smallstep,https://www.crunchbase.com/organization/smallstep,"Computer, Cyber Security, Identity Management, Network Security, Open Source","San Francisco, California, United States","Smallstep builds open-source production identity infrastructure: we assign cryptographic identities to microservices, functions, devices ...","114,465",8/1/16,month,https://smallstep.com/,info@smallstep.com,"Smallstep (smallstep.com) is building an identity authority for dev/sec/ops teams that integrates with delivery pipelines, making code “identity aware” to secure connected apps across clouds, containers, serverless, and devices.",,,,Seed
Wispero,https://www.crunchbase.com/organization/wispero,"Big Data, Cyber Security, Information Technology, Security","Santa Clara, California, United States",Wispero is transforming wireless IoT safety for enterprises.,"56,449",9/1/16,month,http://wispero.com,info@wispero.com,"Wispero is transforming wireless IoT safety for enterprises.  Through the innovative SaaS based security analytic platform, Wispero helps automate vulnerability tracking and threat inspection in unlicensed enterprise wireless networks like Bluetooth, ZigBee, and LORA. ",105000,USD,105000,Seed
ThreatInformer,https://www.crunchbase.com/organization/threatinformer,"Analytics, Commercial Insurance, Cyber Security, Insurance, Risk Management","London, England, United Kingdom",ThreatInformer provide advanced security metrics tailored for cyber insurance underwriters.,"102,196",9/13/16,day,https://threatinformer.com,info@threatinformer.com,"ThreatInformer provide cyber risk intelligence to the insurance industry. Combining threat data, security assessments and environmental factors, ThreatInformer's cloud SaaS platform delivers the complete cyber risk picture. ThreatInformer brings together a team with cyber insurance, incident response, threat intelligence and platform development experience. With a relentless focus on the cyber insurance industry they are providing insights to transform the way risks are placed and written.",,,,Seed
Securicy,https://www.crunchbase.com/organization/securicy,"Compliance, Cyber Security, Information Technology, Security, Software","Halifax, Nova Scotia, Canada",Securicy is web-based software that enables companies to efficiently build and implement Cyber Security Policies. ,"3,307",9/18/16,day,https://www.securicy.com/,info@securicy.com,Securicy is web-based software that enables companies to efficiently build and implement Cyber Security Policies. Securicy is a quick and effective cloud-based service that customizes security program implementation.Their customers are fast-moving teams that need cyber security that fits their culture and skills. They serve client's that adhere to strict compliance standards. Securicy’s policies and procedures engage and empower entire teams to protect their client's data. Securicy delivers strong cyber security posture as a competitive edge that translates into their customers winning more business.,1800000,USD,1800000,Seed
NXM LABS INC.,https://www.crunchbase.com/organization/nxcar-technologies-inc,"Artificial Intelligence, Blockchain, Cyber Security, Insurance, Internet of Things, Software","San Francisco, California, United States",NXM Labs is an autonomous security and data integrity software developer.,"8,348",9/21/16,day,https://www.nxmlabs.com,josef@nxmlabs.com,"NXM Labs develops software that enables devices to work together automatically to stop hackers and protect devices against evolving cyber threats, including those using quantum computers, while safeguarding personal privacy and orchestrating data at the edge to empower AI systems. The Company is the recipient of Frost & Sullivan’s 2019 North American Visionary Innovation Leadership Award in IoT Security.",8200000,USD,8200000,Seed
Cybeats Technologies,https://www.crunchbase.com/organization/fwup-inc,"Cyber Security, Internet of Things","Aurora, Ontario, Canada",Cybeats provides cyber security and firmware lifecycle management as a service for the IoT industry.,"15,286",9/21/16,day,https://www.cybeats.com,info@cybeats.com,"Cybeats provides an immune system for IoT devices. Taking an ""inside-out"" approach to cybersecurity, Cybeats’ software is implanted into Enterprise IoT devices to provide continuous protection, allowing devices to detect the most sophisticated threats instantly and gather data to help security professionals neutralize them. Cybeats’ Cloud SaaS Ecosystem analyzes data from the infected device, providing CSOs and IT pros a full diagnosis and treatment plan for the threat, saving them time and money.  ",3000000,USD,3000000,Seed
TypingDNA,https://www.crunchbase.com/organization/typingdna,"Artificial Intelligence, Biometrics, Cyber Security, Developer APIs, FinTech, Fraud Detection, Identity Management, Software","New York, New York, United States",Recognize people when they type. Typing biometrics authentication as a service.,"7,382",10/1/16,month,https://www.typingdna.com,contact@typingdna.com,"TypingDNA provides typing biometrics authentication as a service, enabling companies recognize people by the way they type. TypingDNA Authentication API compares ""how"" people type on their keyboards against previous recordings. Main applicability is in passive fraud prevention and 2FA/MFA, on both PCs and mobile phones.  TypingDNA established in USA in early 2018, two years after being started in Romania, EU by entrepreneur and data scientist Raul Popa together with Cristian Tamas and Adrian Gheara.",1800000,USD,1800000,Seed
CyberCentric,https://www.crunchbase.com/organization/cyber-centric,"Cloud Infrastructure, Cyber Security, Software","New York, New York, United States",CyberCentric is an enterprise-focused cyber security platform that monitors sensitive data and controls access to prevent unauthorized use.,"119,812",10/3/16,day,http://www.cybercentric.com/,info@cybercentric.com,"CyberCentric uses artificial intelligence to ensure that your most sensitive data is only held by those authorized to view it. CyberCentric can be used on their cloud infrastructure or on your organization’s private infrastructure. After installation, the software begins to search your internal network and the external web for copies of your sensitive data which may have been leaked without your knowledge. CyberCentric then begins to take steps to recover or permanently delete the leaked data and prevent further leakage of additional data. The system can be installed within hours.",,,,Seed
TRUSTLESS.AI,https://www.crunchbase.com/organization/trustless-ai,"Cyber Security, FinTech, Privacy","Geneva, Geneve, Switzerland",Freedom and Peace of Mind for your Private Digital Life,"111,289",11/16/16,day,https://www.trustless.ai,rufo@trustless.ai,"At TRUSTLESS.AI we are building the Seevik Pod, an ultra-secure 2mm-thin touch-screen human computing device that seamlessly delivers radically-unprecedented privacy and security to your most sensitive social and business computing, by eliminating the assumption of trust in anything or anyone.  Initially for an exclusive club of private bankers, ultra-high net-worth individuals, and executives - that will carry them inserted in custom leather wallets or phone cases - the Pod will then be embedded in the back of millions of 7mm-thin top-brand Android smartphones.",,,,Seed
Cervello,https://www.crunchbase.com/organization/cervello-193c,"Cyber Security, Railroad, Transportation","Tel Aviv, Tel Aviv, Israel",Cervello addresses security issues in rail and metro operation by providing comprehensive cyber security solutions for the railway industry.,"3,029",1/1/17,year,https://www.cervellosec.com,info@cervellosec.com,"Cervello is a railway cyber security pioneer, helping railway operators, their signalling and rolling stock manufacturers, Tier 1 suppliers and aftermarket providers protect rail and metro operational networks and safety systems from hacking. Founded in 2017 , Cervello combines expertise in cyber security and rail to deliver best-in-class cyber security solutions with innovative methods and deep understanding of railway best practices. Cervello’s HQ is based in Tel-Aviv, Israel.",4500000,USD,4500000,Seed
Defendify,https://www.crunchbase.com/organization/defendify,"Cyber Security, Network Security, SaaS, Security, Software","Portland, Maine, United States","Defendify is an all-in-one, SaaS-delivered cybersecurity platform for Small Business.","3,287",1/1/17,year,https://www.defendify.io/,hello@defendify.io,"Defendify is a cybersecurity platform designed specifically for small businesses. Defendify partners with channel resellers to offer a holistic solution with a single goal: to help secure small businesses from existing and evolving threats. The Defendify all-in-one cybersecurity platform features multiple layers of defense, simplified program management, risk scoring, alerts, notifications, reports, recommendations, and a full suite of easy-to-use cybersecurity tools.",1600000,USD,1600000,Seed
Senseon,https://www.crunchbase.com/organization/senseon,"Artificial Intelligence, Cyber Security, Information Technology, Machine Learning, Software","London, England, United Kingdom",Senseon develops a platform That uses artificial intelligence triangulation to inform firms of cyber threats in real time.,"5,517",1/1/17,year,https://www.senseon.io,info@senseon.io,"Senseon develops a platform to inform firms of cyber threats in real time. Its platform uses artificial intelligence triangulation to understand and correlate data across the entire digital estate, as well as offer instant oversight, automated investigation, visualize cases, and threat hunting. It serves security professionals of all levels.  David Atkinson founded Senseon in 2017. It has its headquarters in London in the United Kingdom with additional office in Chicago in Illinois.",6400000,USD,6400000,Seed
Cynerio,https://www.crunchbase.com/organization/cynerio,"Cyber Security, Health Care, Information Technology, Medical Device, Network Security","Ramat Gan, Tel Aviv, Israel",Cynerio develops a platform that enables healthcare providers to secure patient data and connected medical devices against cyber threats.,"10,998",1/1/17,year,https://www.cynerio.co,info@cynerio.co,"Cynerio develops a platform that enables healthcare providers to secure patient data and connected medical devices against cyber threats. Its platform provides device behavior learning with medical workflow analysis to provide full visibility of what devices are doing on the network and associated risk, detecting anomalous activity, and stopping the threat.  Daniel Brodie and Leon Lerman founded Cynerio in 2017.Its headquarters is in Tel Aviv in Israel.",7000000,USD,7000000,Seed
Dover Microsystems,https://www.crunchbase.com/organization/dover-microsystems,"Cyber Security, Security","Waltham, Massachusetts, United States",Dover Microsystems is a provider of cyber security to silicon.,"17,249",1/1/17,year,https://dovermicrosystems.com/,info@dovermicrosystems.com,"Dover Microsystems is a provider of cyber security to silicon. At Dover Microsystems, their mission is to immunize the world’s processors against all network-based attacks. CoreGuard, their unique silicon IP with proprietary micropolicies, acts as a bodyguard to the host processor, monitoring every instruction executed to ensure it meets a set of security, safety, and privacy rules. With CoreGuard, a processor can actively stop entire classes of network-based attacks and prevent the exploitation of software vulnerabilities. Dover’s CoreGuard silicon IP integrates with RISC architectures to protect against cyberattacks, flawed software, and safety violations.",6000000,USD,6000000,Seed
Alias Robotics,https://www.crunchbase.com/organization/alias-robotics,"Cyber Security, Network Security, Robotics","Vitoria-gasteiz, Pais Vasco, Spain",Alias Robotics is a cybersecurity Robotics firm,"20,240",1/1/17,year,https://www.aliasrobotics.com,contact@aliasrobotics.com,"Alias Robotics is a cybersecurity firm focused on robots. They provide assessment on how to build, program and deploy robots while caring about safety, security and privacy. They aim contributing to a robot ecosystem where robots operate securely. This is, without presenting vulnerabilities that could be exploited by third parties. Robotics is called to be the next industrial revolution. Robots will soon be everywhere. From assistive and entertainment robots used in their homes (consumer robots), to those used on assembly lines (industrial robots), all the way to robots used in medical facilities (professional or service robots). Cybersecurity for robots is an interdisciplinary effort, involving roboticists and computer security experts. Their team in Alias Robotics comprises talented roboticists, as well as machine learning and security researchers with passion for cyberphysical systems. They focus on cybersecurity for robots using their expertise in building robotics systems while applying new techniques and approaches that make use of the latest artificial intelligence tools.",750000,EUR,841762,Seed
Apptega,https://www.crunchbase.com/organization/apptega,"Cloud Computing, Compliance, Cyber Security, SaaS","Atlanta, Georgia, United States","Apptega helps companies build, manage and report on their cybersecurity programs.","23,289",1/1/17,month,https://www.apptega.com,sales@apptega.com,"Apptega is helping companies of all sizes organize and manage their Cybersecurity Programs.  With the help of Apptega, our customers are gaining control over the chaos and systematically driving their organizations towards a hardened cybersecurity posture to meet today's modern threats.",700000,USD,700000,Seed
Statice,https://www.crunchbase.com/organization/statice-dec7,"Cyber Security, Information Services, Information Technology, Privacy","Berlin, Berlin, Germany",Statice is a data privacy company that facilitates complex and professional data analysis using privacy-preserving technologies,"25,106",1/1/17,year,https://www.statice.io/,hello@statice.io,"Statice is a data privacy company that facilitates complex and professional data analysis using privacy-preserving technologies. With the current abundance of information and increasing data privacy concerns and regulations, the company helps companies to truly unlock the hidden value of their data.",250000,EUR,307193,Seed
Fyde,https://www.crunchbase.com/organization/fyde,"Computer, Cyber Security, Network Security","Palo Alto, California, United States",Software-defined remote access and security,"25,361",1/1/17,year,https://www.fyde.com/,hello@fyde.com,"Fyde helps companies with an increasingly distributed workforce to mitigate breach risk by enabling secure access to critical enterprise resources for their employees, partners, contractors, and outsourcers. Fyde’s flagship enterprise product provides granular access controls for your enterprise apps and workloads, continuously monitors access requests, improves the security posture of endpoints and protects user identities against phishing and account takeover attacks.",5249959,USD,5249959,Seed
Citalid Cybersecurity,https://www.crunchbase.com/organization/citalid-cybersecurity,"Cyber Security, Network Security","Versailles, Ile-de-France, France",Citalid Cybersecurity is a company focused on cyber threat intelligence at the heart of its customers' strategic decisions.,"27,000",1/1/17,year,https://www.citalid.com/,,"Citalid Cybersecurity is a French company whose ambition is to place the analysis of cybermenaces at the heart of the strategic decisions of its customers. An effective cyber defense today can not be limited to technical expertise alone, but must be conceived transversely. Citalid provides its clients with an online platform for analysis and decision support based on three complementary pillars: knowledge of attack procedures; the organization of a common cyber defense through a controlled sharing of information; the assessment and anticipation of computer threats. Citalid innovates by identifying contexts conducive to cyber attacks by cross-checking cyber, geopolitical, economic, social, and other information. Its clients benefit not only from a tailor-made and operational mapping of the threats likely to target them, but also from the associated preventive defense axes. --- Citalid Cybersecurity is a company focused on cyber threat intelligence at the heart of its customers' strategic decisions. An efficient cyberdefense can not be limited to technical expertise anymore, but must be designed in a transversal way. Citalid is helping its customers with an online analysis platform for supporting the decision-making process by: increasing the knowledge about the attackers; organizing joined cyberdefense via controlled information sharing; evaluating and anticipating the cyber risk. Citalid innovates by identifying contexts to cyberattacks through the crossing of heterogenous information sources: cyber, geopolitics, economics, social, etc. Thus, its customers may not be affected by a specific problem, but also by the appropriate preventive lines of defense.",1200000,GBP,1523370,Seed
Digital Fingerprints,https://www.crunchbase.com/organization/digital-fingerprints-is-a-continuous-authentication-solution-based-on-behavioural-biometrics,"Artificial Intelligence, Big Data, Biometrics, Cyber Security, Fraud Detection, Machine Learning, Risk Management","Katowice, Slaskie, Poland",Digital Fingerprints is a continuous authentication solution based on behavioural biometrics compliant with PSD2 and GDPR,"27,668",1/1/17,year,http://fingerprints.digital,contact@fingerprints.digital,"Digital Fingerprints provides continuous authentication based on behavioural biometrics. We solve the problem of gatekeeper with privacy in mind. Our solution is contextless, based on Artificial Intelligence and swift in response. Credentials, tokens and other methods of logging in to systems are inconvenient and prone to attacks such as session hijack or account & credential stealing. We continuously check the behaviour of user to react in case of a fraudulent action. From customers perspective our solution provides invisible multi factor authentication method that protects them during the whole session. We look at how you do things not what you do. Our solution is compliant with GDPR and PSD2 regulations. We adapt to changes in user behaviour. Quality of models is configurable depending on risk model. Time to score is very low because of stream processing. Just be yourself and protect your accounts with Digital Fingerprints",2000000,USD,2000000,Seed
Phosphorus,https://www.crunchbase.com/organization/phosphorus-2,"Business Information Systems, Cyber Security, Internet of Things","Carlsbad, California, United States","Phosphorus Cyber Security, Inc.","29,963",1/1/17,year,http://www.phosphorus.io,,,2450000,USD,2450000,Seed
iXDen,https://www.crunchbase.com/organization/ix-den,"Cyber Security, Internet of Things","Jerusalem, Yerushalayim, Israel","Invented  ""biometric-like"" IoT Device Identity and Authentication using mathematics and AI, securing IoT payments performed by wearables.","35,741",1/1/17,year,https://www.ixden.com,Zion.Harel@iXDen.com,"•	Securing IoT device payments by establishing unique dynamic ‘biometric-like’ Identity  for any IoT device •	Multi-factor Authentication  for any IoT device payment  driven by proprietary mathematical models, topological algorithms, statistical analysis, machine learning,          and neural network AI technology •	Preventing fraud and identity theft by analyzing expected device behavior, from the ﬁrst transaction •	Reducing Card-not-Present payment risk to Card-Present level •	Providing a Risk Assessment tool for IoT payments •	Compatible with- and easily integrable into- any IoT payment architecture •	Mitigating weaknesses of connected IoT devices by utilizing their “multi-sensor-ness” ",100000,USD,100000,Seed
Agroninja,https://www.crunchbase.com/organization/agroninja-kft-2030,"Cyber Security, Health Care, Information Technology, Security","Csongrád, Csongrad, Hungary","Agroninja offers a cost effective, secure and stressless solution for cattle weight measurement.","40,112",1/1/17,year,http://agroninja.com/,sales@agroninja.com,"Agroninja offers a cost effective, secure and stressless solution for cattle weight measurement.",291000,EUR,337566,Seed
Intigriti,https://www.crunchbase.com/organization/intigriti,"Cloud Security, Cyber Security, Network Security, Security","Aalst, Oost-Vlaanderen, Belgium","Intigriti is a bug bounty platform, it ensures online security through a crowd-sourced platform for computer experts.","45,504",1/1/17,year,https://www.intigriti.com,support@intigriti.com,intigriti is a crowdsourced security platform where security researchers and companies meet. As an ethical hacking and bug bounty platform we aim to identify and tackle vulnerabilities in a cost efficient way. Our managed platform facilitates online security testing through collaborating with experienced researchers with a strong European focus. Together we can offer an endless stream of creativity that simulates possible threats.,71429,EUR,82694,Seed
Threshing Floor,https://www.crunchbase.com/organization/threshing-floor,"Artificial Intelligence, Computer, Cyber Security, Network Security","Washington, District of Columbia, United States",Threshing Floor is a cybersecurity product for enterprise security teams to detect threats.,"53,634",1/1/17,year,https://threshingfloor.io/,,,100000,USD,100000,Seed
inCyber Compliance,https://www.crunchbase.com/organization/incyber-compliance,"Cloud Security, Compliance, Cyber Security, GovTech, Privacy, Risk Management, Security","Chicago, Illinois, United States",Cybersecurity Compliance. Simplified. Automated. SaaS. RegTech,"59,915",1/1/17,day,https://incybercompliance.com,info@incybercompliance.com,RegTech. The first fully automated cyber security auditing tool that simplifies your cyber compliance efforts.,50000,USD,50000,Seed
Perseus,https://www.crunchbase.com/organization/perseus-5e69,"Cyber Security, Network Security, Privacy","Berlin, Berlin, Germany","Perseus provides cyber security, and data privacy services.","84,023",1/1/17,year,https://www.perseus.de,support@perseus.de,"Perseus is a company on a mission. Their team is dedicated to working for the purpose of making Germany a more cyber secure place. They are committed to offer a great product, and build a successful team. A strong team in the heart of Germany.  They have a vision on how to secure Germany from cyber threats, but accept the value of focusing on the most valuable features for customers. They stay pragmatic to solve real problems. They know that most risks come from human actions, and refer to it when building their platform. They embrace being just humans and ensure that their team love what they do and stay unique. They constantly look to improve, their product and themselves. They invest in the best ideas and long-term relationships with customers and partners and don't cut corners.  They provide businesses with a comprehensive but simple to use solution for cyber security, and GDPR compliance needs.",,,,Seed
689Cloud,https://www.crunchbase.com/organization/689cloud,"Cloud Data Services, Cloud Security, Cyber Security, File Sharing, Financial Services, Information Technology, Security","Ho Chi Minh City, NA - Vietnam, Vietnam",689Cloud is cloud-based platform and customized solution that makes simplify secured file sharing & collaboration.,"114,080",1/1/17,year,http://www.689cloud.com,john@689cloud.com,"689Cloud is cloud-based platform and customized solution that makes simplify secured file sharing & collaboration on Cloud for internal & external business. Unlike other cloud services 689Cloud protects documents in transit, at rest and at work with Information Right Management technology to allow business owner end-to-end control document even after they have been shared, downloaded; such as controlling who is open, print/copy/edit or revoke access to documents every time, everywhere. 689Cloud help your business to increase 100% security for sharing confidential information with client/partner and reduces 50% time spent communicating & collaborating on business works.",,,,Seed
Lorenz Technology,https://www.crunchbase.com/organization/lorenz-technology,"Cyber Security, Drones, Information Technology, Robotics, Security, Software, Wearables","Odense, Syddanmark, Denmark",Lorenz Technology works with drone monitoring security / inspection tasks in particular industrial and port areas.,"145,486",1/1/17,year,http://www.lorenztechnology.com/en/,info@lorenztechnology.dk,Lorenz Technology works with drone monitoring security / inspection tasks in particular industrial and port areas.,,,,Seed
Camel Secure,https://www.crunchbase.com/organization/camel-secure,"Cyber Security, Information Technology","Providencia, Region Metropolitana, Chile",Cibersecurity risk management platform,"149,857",1/1/17,year,http://www.camelsecure.com/,,"Platform that manages all cyber-associated risks, allowing to visualize the threats and manage them in an efficient and centralized manner.",,,,Seed
KashIO,https://www.crunchbase.com/organization/kashio-inc,"Cyber Security, Financial Services, Information Technology, Mobile Payments, Security","Miami, Florida, United States",KashIO is a real Cash Alternative for all people and businesses in the digital world.,"162,277",1/1/17,month,https://www.kashio.net,info@kashio.net,"KashIO is a real Cash Alternative for all people and businesses in the digital world. It offers various payment products for both unbanked & banked customers together with a strong value proposition for Merchants, Institutions & Banks. The company was founded by two former Fintech executives with decades of industry experience, who saw the need for innovation, lean infrastructure, security and an inclusion of the cash market. KashIO is headquartered in Miami/FL and has a branch office in Lima/Peru, where it started its operations.",,,,Seed
"Scaeva Technologies, Inc.",https://www.crunchbase.com/organization/scaeva-technologies-inc,"Cyber Security, Music","Gilroy, California, United States",Patented protection against piracy of digital content.,"210,031",1/15/17,day,http://scaevatech.com,info@scaevatech.com,"Scaeva Technologies protects digital music and film content with innovative (and patented) content-aware™ encryption. We integrate within the creative workflow to secure the digital content with our ScaevaSAFE™. Unlocking the content requires either a companion key, or our newly designed speaker and headphone licensed technology. All of Scaeva's solutions are designed to reproduce standard content as well as encrypted content with immersive, high definition sound quality.",,,,Seed
Kindite,https://www.crunchbase.com/organization/kindite,"Big Data, Cloud Security, Cyber Security, FinTech, Privacy","Tel Aviv, Tel Aviv, Israel",Redefine Encryption for the Cloud Era,"13,405",2/1/17,month,http://www.kindite.com/,info@Kindite.com,"While the benefits of migrating enterprise workloads to public cloud environments are well-known, it's also clear that losing control over data and encryption keys isn't in-line with common practices of handling highly sensitive data. Even when utilizing currently available security solutions, technical limitations force encryption keys and sensitive data to be continuously accessed by the cloud infrastructure. By decoupling the cloud infrastructure from the data layer, Kindite's ""Zero-trust Searchable Encryption"" technology allows cloud-based applications to run smoothly over encrypted data without ever decrypting it at the cloud environment. Kindite's ""Zero-trust Searchable Encryption"" technology allows processing over encrypted data without ever needing to decrypt it,  essentially eliminates the necessity to compute over plain-text data at the cloud, removing any cloud data breach threats off the table. Kindite's software-only service is seamlessly integrated with each of the target applications stack requiring zero code changes and introducing minimal performance hit to the applications, making sure encryption keys will never leave customers control",4000000,USD,4000000,Seed
Callbell Security,https://www.crunchbase.com/organization/callbell-security,"Artificial Intelligence, Big Data, Cyber Security","Kozhikode, Kerala, India",AI Cyber Security Company,"408,481",2/7/17,day,http://www.callbellsecurity.com,info@callbellsecurity.com,"Callbell is an emerging cybersecurity company that specializes in securing the IT infrastructure and assets of some of the leading enterprises globally. We are a passionate group of youngsters and experienced executives combined to deliver an experience unmatched with perfection. Our experience in the field of cybersecurity and IT field with the blend of modern technological marvels like AI facilitate customers with the best in class cybersecurity solution for their needs. We make a real difference to an organization's overall security posture.  We are strongly positioned in expertise & experience working on almost all the security vulnerabilities, enabling us to consult our client's solutions that suits best for their enterprises.  We closely partner with clients, and have a strong track record of exceeding client expectations every time.",,,,Seed
AppsCo Inc,https://www.crunchbase.com/organization/appsco,"Blockchain, Cloud Computing, Cyber Security, Identity Management, Internet of Things, SaaS, Security, Software","St Louis, Missouri, United States",Appsco helps you manage access to your company applications and gives you meaningful insights over sensitive data flow.,"39,556",2/14/17,day,http://www.appsco.com,post@appsco.com,"With AppsCo you can have connected, integrated and secured access all in one place. AppsCo enables users to access company applications through secure, centrally managed portal while providing better visibility.  Benefit for Employee: Through AppsCo’s user dashboard employees get centralized access to company published application with SSO integration Benefit for an Enterprise: Centralized control and management over user access to published company applications and decreased operational burden",1000000,USD,1000000,Seed
SecurityGate,https://www.crunchbase.com/organization/securitygate,Cyber Security,"Houston, Texas, United States",SAAS cyber risk and compliance platform,"27,549",2/22/17,day,https://www.securitygate.io,,"They believe their customers know the problem they’re facing better than anyone. Ensuring their clients are continually delighted and satisfied is their top priority. To do this, they commit their domain expertise – from their engineers to their research team – to collaborate directly with their customers throughout every step of engagement in the product lifecycle.",1000000,USD,1000000,Seed
StealthMail,https://www.crunchbase.com/organization/stealthmail,"Cloud Security, Cyber Security, Email, Enterprise Software","San Francisco, California, United States","StealthMail makes your emails secure and invisible to email relays, hackers, or Public Internet threats.","32,974",3/1/17,month,https://stealthmail.com,dbull@stealthmail.com,"StealthMail makes your emails secure and invisible to email relays, hackers, or Public Internet threats - making email relationships with clients a trusted one via StealthMail’s best-in-class Secure Email Channel.  Moreover, StealthMail gives you full and exclusive control over your encryption keys, data, and access rights - so that your email communication is fully protected.  To start using StealthMail no integration is needed. There are no risks for existing IT infrastructure. The whole deployment takes less than 4 hours. Users get Outlook Add-Ins and the server is deployed to Company’s Azure Cloud.",2700000,USD,2700000,Seed
Bibu Labs,https://www.crunchbase.com/organization/bibu-labs,"Computer, Cyber Security, Enterprise, Software","Kitchener, Ontario, Canada",Dynamic Defence Against Cyber Attacks for IoT,"64,959",3/1/17,month,http://bibulabs.com/,thshabab@gmail.com,,87141,USD,87141,Seed
4Securitas - ACSIA.io,https://www.crunchbase.com/organization/4securitas-acsia-io,Cyber Security,"Dublin, Dublin, Ireland",Software - Cybersecurity - Servers,"67,962",3/1/17,day,http://www.acsia.io,donal@4securitas.com,"4Securitas, develops technologies that allow businesses at risk from cyber threats to deliver security simply and affordably.    4Securitas want to build an innovative new product called ACSIA (Automated Cybersecurity Interactive Appliance)  which will allow users to monitor, control and mitigate against cyber threats, simply and effectively, in real time.    ACSIA contains all the necessary tools for managing Cloud security. Deploying and running the application made simple and fast, with very little friction involved in setting up comprehensive cloud security.",50000,EUR,58142,Seed
EnvKey,https://www.crunchbase.com/organization/envkey,"Cyber Security, Developer APIs, Software","Montclair, New Jersey, United States","Envkey is an end-to-end encrypted repository for configuration, api keys, and application secrets.","110,085",3/1/17,month,https://www.envkey.com/,,"EnvKey solves these problems without getting in the way. It's like a password manager for API keys and application config. Using end-to-end encryption built on the OpenPGP standard, EnvKey makes it easy to grant secure, always in-sync access to the developers and servers that need it, all from a user-friendly UI. Using EnvKey ensures that no 3rd party, including EnvKey itself, ever has access to your secrets. It takes a part of your system that is error-prone and insecure and makes it just work.",,,,Seed
Pikotime,https://www.crunchbase.com/organization/pikotime,"Corporate Training, Cyber Security","San Francisco, California, United States",Cybersecurity Awareness Education Software,"190,934",3/10/17,day,https://pikotime.com,info@pikotime.com,"At pikotime, we're building the world's first fully automated and data-driven security training software system for the enterprise.   Our software analyzes employee browsing data, automatically ""pushing""​ personalized nano-lessons to employees in the browser as they go about their daily work for a continuous learning experience year round. ",,,,Seed
