Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
Vectra AI,https://www.crunchbase.com/organization/vectra-networks,"Artificial Intelligence, Cyber Security, Network Security, Security","San Jose, California, United States",Vectra is a cybersecurity platform that uses AI to detect attackers in real time and perform conclusive incident investigations.,"2,345",2010-01-01,year,https://vectra.ai/,info@vectra.ai,"Vectra specializes in network detection and response – from cloud and data center workloads to user and IoT devices. Its Cognito® platform accelerates threat detection and investigation using artificial intelligence to collect, store and enrich network metadata with the right context to detect, hunt and investigate known and unknown threats in real time. The company offers three applications on the Cognito platform to address high-priority use cases. Cognito Stream™ sends security-enriched metadata to data lakes and SIEMs. Cognito Recall™ is a cloud-based application to store and investigate threats in enriched metadata. And Cognito Detect™ uses AI to reveal and prioritize hidden and unknown attackers at speed. Vectra was founded in 2010 and is based in San Jose, California.",222540000,USD,222540000,Late Stage Venture,In Contact
Bromium,https://www.crunchbase.com/organization/bromium,"Computer, Cyber Security, Enterprise, Security, Software","Cupertino, California, United States",Bromium develops software with micro-virtualization and hardware-based security solutions for enterprise desktops.,"4,088",2010-01-01,year,http://www.bromium.com,info@bromium.com,"Bromium delivers the benefits of micro-virtualization and hardware based security to enterprise desktops, reducing the enterprise attack surface for all users without the need for new management tools or skillsets. The company’s solutions enable an exceptional end-user experience with its protect-first design, isolating threats before they can harm the enterprise. Bromium vSentry™, based on the Bromium Microvisor™. protects Windows® PCs from undetectable advanced malware that attacks the enterprise through tricking users into opening poisoned attachments, documents and websites. vSentry enables IT to safely embrace key trends in mobility, and “anywhere, anytime” access - empowering users to collaborate, access cloud-hosted applications and the consumer web, and open unsafe documents and media without risk to enterprise information or infrastructure. Bromium vSentry technology provides additional features like LAVA, or Live Attack Visualization and Analysis. LAVA automatically generates signatures for new attacks that legacy detection-centric tools can neither identify nor block, helping IT to rapidly achieve defense in depth. Additionally, vSentry includes the Bromium Management Server (BMS), which provides a centralized web service for vSentry policy management, collection of LAVA events from all desktops in the enterprise, and correlation of attack data. Bromium vSentry helps enterprises to secure Windows® XP, both 32 and 64 bit versions of Windows 7, and virtual desktops delivered with Microsoft Remote Desktop Services (including Citrix XenDesktop and VMware View). vSentry is licensed per-user, enterprise wide, and priced according to volume. Bromium was founded in 2011 by Gaurav Banga, Simon Crosby and Ian Pratt.  The company’s founders led development of the Xen® hypervisor as well as the creation of HyperSpace, the world's first firmware–integrated client hypervisor. The company is based in Cupertino, California.",115800000,USD,115800000,Late Stage Venture,New
PROFICIO,https://www.crunchbase.com/organization/proficio,"Cloud Data Services, Cryptocurrency, Cyber Security, Software","Carlsbad, California, United States",Proficio is an award wining cyber security service provider helping customers detect and prevent security breaches.,"6,907",2010-01-01,year,http://www.proficio.com,info@proficio.com,Proficio is a leading Managed Security Service Provider (MSSP). We are changing the way organizations meet their IT security and compliance goals by providing the most advanced cloud-based solutions to monitor and scan their critical assets without the need for added headcount or costly software and hardware systems.,13100000,USD,13100000,Early Stage Venture,New
Seclore,https://www.crunchbase.com/organization/seclore,"Cyber Security, Information Services, Information Technology, Infrastructure, Security, Software","Sunnyvale, California, United States",Seclore provides enterprise digital rights management solution that enables organizations to control the usage of files wherever they go.,"7,576",2010-01-01,year,http://www.seclore.com,info@seclore.com,"Seclore has products and solutions in area of Information Rights Management(IRM). IRM protects information by defining usage rights on information. What this means is that IRM controls who can access information; what can they do with information - view, edit; when can they access information - dates, times; where can they access information from. Usually information security approaches secure infrastructure. However this restricts collaboration. IRM is a means to secure information without restricting collaboration. With IRM, information is secure, even after it moves out of organisation's boundaries, since security policy is attached to information itself.",19000000,USD,19000000,Early Stage Venture,New
PSafe Technology,https://www.crunchbase.com/organization/psafe,"Android, Cloud Computing, Cyber Security, Information Technology, Mobile Apps, Security","San Francisco, California, United States",PSafe develops Internet security software for mobile devices in Latin America.,"8,646",2010-01-01,year,http://www.psafe.com,psafe@psafe.com,"PSafe develops Internet security software for mobile devices in Latin America. Its products include PSafe Total, an antivirus and security software for Android operating systems; PowerPRO that identifies and removes tasks that consume too much battery, and suggests solutions; and PSafe Total Windows, a software that activates real-time virus scans, provides optimization, and recovers valuable data by cleaning disk space that consumes temporary or unnecessary files.  Benjamin Myers, Marco de Mello, and Ram Rao founded PSafe in 2010, with its headquarters in San Francisco in California. It operates as a subsidiary of Grupo Xango.",86100000,USD,86100000,Late Stage Venture,New
TableSafe,https://www.crunchbase.com/organization/viableware,"Cyber Security, Hardware, Mobile Payments, SaaS, Software","Kirkland, Washington, United States",TableSafe provides solutions for secure payment transactions.,"12,175",2010-01-01,year,https://www.tablesafe.com/,info@tablesafe.com,"TableSafe, developers of RAIL, the patented 'pay at the table' solution, is a Kirkland, Washington based technology company that designs, builds, and sells hardware and software products designed to eliminate credit and debit card information theft. In addition, our solutions increase waiter efficiency and provide restaurants with new marketing and communication applications.",25299811,USD,25299811,Late Stage Venture,New
Bangcle Security,https://www.crunchbase.com/organization/bangbang-security,"Cyber Security, Mobile Apps, Network Security","Beijing, Beijing, China",Bangcle is a mobile appliction and IoT security solution and service provider.,"22,870",2010-01-01,year,https://www.bangcle.com,service@bangcle.com,Leading Mobile application and IoT security solution service provider.,40000000,USD,40000000,Late Stage Venture,New
WireX Systems,https://www.crunchbase.com/organization/wirex-cube-systems,"Cyber Security, Network Security","Sunnyvale, California, United States",WireX Systems is a provider of IR and security investigations solutions.,"24,239",2010-01-01,year,http://wirexsystems.com/,info@wirexsystems.com,"WireX Systems is a network security company that has shifted the paradigm in security investigations. Using Contextual Capture™ technology, the solution continuously translates network traffic into comprehensive intelligence that can be immediately understood and expands forensics history from days to months. Today, leading enterprises choose WireX Systems as a key component in their security infrastructure to accelerate incident response, mitigate data theft and simplify responding to the magnitude of security alerts they must action every day.",11300000,USD,11300000,Early Stage Venture,New
MKACyber,https://www.crunchbase.com/organization/mka-cyber,"Cyber Security, Network Security, Security","Fairfax, Virginia, United States",A rapidly expanding Managed Security Operations Services Provider with elite SOC expertise.,"32,428",2010-01-01,year,https://mkacyber.io/,info@mkacyber.com,"MKACyber delivers strong, defensive operational cybersecurity capabilities to enterprise and government organizations. Providing SOC assessments, high-touch managed SOC services and CISO advisory and collaboration support capabilities, the company arms its customers with best-in-class solutions that address the most pressing needs of groups ranging from boards of directors and executive teams to technical staffs.",4100000,USD,4100000,Early Stage Venture,New
CyberInt,https://www.crunchbase.com/organization/cyberint,"Cyber Security, Fraud Detection, Network Security, Security","Petah Tiqva, HaMerkaz, Israel",CyberInt offers managed detection and response for the digital business.,"34,169",2010-01-01,day,http://www.cyberint.com,sales@cyberint.com,"In the age of digital transformation businesses are opening themselves up to far greater risks and greater threats in their environment. CIOs and CISOs are therefore beginning to look at their security environment through a digital lens. CyberInt has been recognized by both Gartner and Forrester as an innovator in securing digital businesses.  CyberInt's Managed Detection and Response services span globally and include some of the top finance, retail and telecommunication organizations. Allowing our customers to combat and respond to advanced cyber threats that would normally go unnoticed by standard security controls, while protecting their brand, digital assets and customers.",28000000,USD,28000000,Early Stage Venture,New
Cloak Labs,https://www.crunchbase.com/organization/cloak-labs,"B2B, Cloud Data Services, Collaboration, Cyber Security, Enterprise Software, Messaging, Security","Redwood City, California, United States",Cloak Labs are secure B2B messaging in the cloud.,"55,237",2010-01-01,year,http://cloaklabs.com,julia.weh@cloaklabs.com,Cloak Labs helps enterprises securely and reliably communicate with each other without adding to their attack surface. We operate a service in the cloud (subscription-based SaaS) that provides end-to-end encryption and reliable delivery of transactional business messages. Our technology is also being applied to IoT (Internet of Things) for machine-machine messaging. We are deployed in production with paying customers. Our strategy is to open source the key component of our technology to get design wins with developers solving secure integration problems.,2236041,USD,2236041,Early Stage Venture,In Contact
ForgeRock,https://www.crunchbase.com/organization/forgerock,"Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy","San Francisco, California, United States","ForgeRock digital identity management solutions transform how organizations securely interact with customers, employees, devices, and things",754,2010-02-01,day,http://www.forgerock.com,info@forgerock.com,"ForgeRock® is the digital identity management company transforming the way organizations interact securely with customers, employees, devices, and things. Organizations adopt the ForgeRock Identity Platform™ as their digital identity system of record to monetize customer relationships, address stringent regulations for privacy and consent (GDPR, HIPAA, FCC privacy, etc.), and leverage the internet of things. ForgeRock serves hundreds of brands, including Morningstar, Vodafone, GEICO, Toyota, TomTom, and Pearson, as well as governments like Norway, Canada, and Belgium, securing billions of identities worldwide. ForgeRock has offices across Europe, the USA, and Asia. Visit www.forgerock.com for free downloads and follow us on Twitter @forgerock.",140165000,USD,140165000,Late Stage Venture,In Contact
Ziften Technologies,https://www.crunchbase.com/organization/ziften-technologies,"Cyber Security, Enterprise Software, Information Technology, Security","Austin, Texas, United States","Ziften protects enterprise client devices, data centers and cloud deployments from cyber-attacks.","10,375",2010-02-01,month,https://www.ziften.com,contact@ziften.com,"Ziften is a privately funded endpoint security company based in Austin, Texas. The organization provides a cloud-delivered endpoint protection platform that prevents attacks on endpoints – laptops, desktops, servers, and cloud – with capabilities including advanced protection, endpoint detection and response, and security posture analysis.",50000000,USD,50000000,Late Stage Venture,New
Norse,https://www.crunchbase.com/organization/norse-corporation,"Computer, Cyber Security, Financial Services, FinTech, Network Security, Security","San Mateo, California, United States",Norse provides internet security intelligence solutions to e-commerce and enterprise clients.,"16,634",2010-04-10,day,http://www.norse-corp.com,krs@norse-corp.com,"Based in California, Norse is a cybersecurity firm that offers internet security intelligence solutions to e-commerce and enterprise clients. The firm delivers live and accurate attack intelligence solutions enabling its customers to block attacks, uncover hidden breaches, and track threats emerging around the globe. It is focused on improving the performance, catch-rate, and return-on-investment for enterprise security infrastructures. Norse, which was founded in 2010, serves global financial, government, and technology organizations through its products and services.",24950000,USD,24950000,Early Stage Venture,New
Vaultize,https://www.crunchbase.com/organization/vaultize,"Cyber Security, DRM, Enterprise Software, File Sharing, Mobile","San Francisco, California, United States","Vaultize is an enterprise platform for end-to-end file security with built-in rights management, secure file sharing & data protection.","94,356",2010-07-01,day,http://www.vaultize.com,sales@vaultize.com,"Vaultize is an enterprise platform for end-to-end file security with built-in information / digital rights management (IRM / DRM / EDRM), secure file sharing, data protection and data loss prevention (DLP). It takes an information-centric and holistic approach towards management, security and control of data in enterprises. Vaultize Technologies is a privately held company with presence in more than 30 countries – including the US, Singapore and India, through its channel network consisting of resellers, distributors, system integrators and MSPs. Vaultize was started in 2010 by a team with extensive experience in technology leadership and executive management roles with security, storage and data protection leaders like Symantec, McAfee and VERITAS.",,,,Early Stage Venture,In Contact
Instart,https://www.crunchbase.com/organization/instart-logic,"Advertising, Cloud Computing, Cyber Security, Digital Marketing, Digital Media, Internet, Mobile, Software","Palo Alto, California, United States","Instart helps hundreds of leading enterprises around the world deliver a faster, safer and more profitable digital experience.","2,556",2010-11-01,day,https://www.instartlogic.com,info@instartlogic.com,"Instart is a digital experience management company. They help thousands of leading brands like Neiman Marcus, Coach, Microsoft, AT&T, Hearst and CBS to deliver faster, safer and better online experiences for millions of their customers – and to earn higher profits for themselves. Their Digital Experience Cloud is unique in that it uses artificial intelligence and machine learning to automatically and continuously optimize and secure every object and every page for each of your web and mobile applications for every device and every customer. No other company does this. After you deploy Instart, your customers will enjoy up to 30% faster application performance, and your applications and products will look better, leading to up to 20% higher conversion, more SEO traffic, lower pay per click costs and higher net promoter scores. If your company is selling online, your customers will buy more, delivering up to 8% higher online revenue, greater average order value, and reduced returns. Media companies work with Instart to drive online revenue up to 15% higher by increasing advertising viewability, restoring advertising revenue currently being lost to ad blocking software, and ensuring every visitor always has the best possible experience.  IT departments enjoy up to 50% lower TCO, greater security and improved reliability for your existing infrastructure supporting your digital applications.",140000000,USD,140000000,Late Stage Venture,New
Entreda,https://www.crunchbase.com/organization/entreda,"Compliance, Cyber Security, Financial Services, Software","Santa Clara, California, United States",Cybersecurity compliance and risk analytics software,"89,562",2010-12-30,day,http://www.entreda.com,info@entreda.com,"Founded in 2011 with offices in Santa Clara, California and Birmingham, Alabama, Entreda is the leading provider of comprehensive cybersecurity software, systems and training to the independent financial advice and healthcare industry. Entreda developed its award-winning Cyber Risk Number platform, Unify, to help regulated industries monitor and protect client information and assets with the highest standards of security. Entreda's senior leadership team has over 100 years of combined experience in cybersecurity technology and 40 years of combined experience in the financial services (RIAs and Broker Dealers) and Healthcare industries. For more information, visit https://www.entreda.com",,,,Early Stage Venture,In Contact
BitSight,https://www.crunchbase.com/organization/bitsight,"Cyber Security, Risk Management, Security","Boston, Massachusetts, United States","BitSight is a platform that rates companies' security effectiveness on a daily basis using a data-driven, outside-in approach.","1,139",2011-01-01,year,https://www.bitsight.com/,info@bitsight.com,"BitSight is transforming how companies manage information security risk with objective, evidence-based security ratings.  Today, organizations have hundreds of business partners with whom they share sensitive data. This exposes them to the risk of a breach through a partner network. BitSight’s global platform helps manage this risk by collecting and analyzing terabytes of data on security behaviors and rating companies for their security effectiveness. Similar to consumer credit scores, BitSight Security Ratings are automated and derived entirely from externally available data. The result: organizations are empowered to proactively identify, quantify and mitigate security risk throughout their ecosystems.",151000000,USD,151000000,Late Stage Venture,New
"GoSecure, Inc. (formerly known as CounterTack)",https://www.crunchbase.com/organization/countertack,"Cloud Security, Cyber Security, Network Security, Security","La Jolla, California, United States",GoSecure is a recognized cybersecurity leader and innovator offering services from security assessments to managed detection and response.,"1,264",2011-01-01,year,http://www.gosecure.net,support@gosecure.net,"GoSecure is recognized as a leader and innovator in cybersecurity solutions. The company is the first and only to integrate an Endpoint and Network threat detection platform, Managed Detection and Response services, and Cloud/SaaS delivery. The CounterTack Platform delivers predictive multi-vector detection, prevention, and response by applying a unique combination of behavioral analysis, memory forensics, machine learning, and reputational techniques to counter the most advanced threats. Our MDR Services are driven by aggressive SLAs for rapid response and active mitigation services that directly touch the customers’ network and endpoints. Together, these capabilities provide the most effective response to the increased sophistication of continuously evolving malware and malicious insiders that target people, processes and systems. With focus on innovation quality, integrity and respect, GoSecure has become the trusted provider of cybersecurity products and services to organizations of all sizes, across all industries globally. To learn more, please visit: https://www.gosecure.net.",92435732,USD,92435732,Late Stage Venture,New
ClearDATA,https://www.crunchbase.com/organization/cleardata,"Cloud Data Services, Cloud Infrastructure, Compliance, Cyber Security, Information Technology, Security, Service Industry","Austin, Texas, United States","Transforming and Innovating healthcare in a secure, compliant Cloud to make healthcare better.","1,902",2011-01-01,year,https://www.cleardata.com/,compliance@cleardata.com,"ClearDATA is the market leader for cloud computing and information security services for the healthcare industry. ClearDATA’s innovative, HITRUST-certified cloud solutions protect customers from data privacy risks, improve their data management, and scale their healthcare IT infrastructure, enabling the industry to focus on making healthcare better by improving healthcare delivery.  Our Healthcare Managed Cloud Platform and Services helps Providers, Pharma, Payers and Healthcare Product Technology organizations:  •	Modernize their infrastructure by integrating and moving to public clouds •	Significantly improve security and compliancy •	Enable data environments for analytics, artificial intelligence (AI) and machine learning",80417814,USD,80417814,Late Stage Venture,New
Shape Security,https://www.crunchbase.com/organization/shape-security,"Cyber Security, Network Security, Security","Mountain View, California, United States",Shape provides defense against malicious automated cyber-attacks on web and mobile applications.,"1,941",2011-01-01,year,https://www.shapesecurity.com,info@shapesecurity.com,"Shape provides best-in-class defense against malicious automated cyber-attacks on web and mobile applications. Shape has deflected over $1B in fraud losses for major retailers, financial institutions, airlines, and government agencies. Shape Security is headquartered in Silicon Valley and backed by Kleiner Perkins Caufield & Byers, Norwest Venture Partners, Venrock, Baseline Ventures, Google Ventures, WING VC and a host of other prominent investors.",132000000,USD,132000000,Late Stage Venture,In Contact
BioCatch,https://www.crunchbase.com/organization/biocatch,"Cyber Security, FinTech, Fraud Detection, Network Security","Tel Aviv, Tel Aviv, Israel","BioCatch is a cybersecurity company that delivers behavioral biometrics, analyzing human-device interactions to protect users and data.","2,843",2011-01-01,year,http://biocatch.com,info@biocatch.com,"Based in Boston, Massachusetts, BioCatch offers a range of behavioral authentication and threat detection solutions for web and mobile applications. Available as a cloud-based solution, BioCatch collects and analyzes more than 2000 cognitive parameters to generate unique user profiles. Organizations use the platform to continuously authenticate users during their online sessions, protecting against cyber threats and fraudulent activity, such as account takeover and RAT-in-the-Browser (RitB), remote access, and automated account manipulation. BioCatch was founded in 2011.",41600000,USD,41600000,Early Stage Venture,In Contact
RiskLens,https://www.crunchbase.com/organization/risklens,"Cyber Security, Enterprise Software, Information Services, Risk Management, SaaS, Security","Spokane, Washington, United States",RiskLens is a provider of cyber risk management software that empowers business executives to manage organizations.,"6,252",2011-01-01,year,http://www.risklens.com,info@risklens.com,"RiskLens is a provider of cyber risk management software. RiskLens helps business executives, risk officers, and CISOs manage cyber risk from the business perspective by quantifying cyber risk in dollars and cents. Forward-thinking organizations leverage RiskLens as the system of record for cyber risk for understanding cyber risk exposure, prioritizing the risk mitigations, measuring the ROI of security investments and optimizing cyber insurance policies. The company's goal is to transform and become the standard way in which enterprises and government organizations measure, manage, and state information and operational risk. RiskLens was founded on 2011 and is headquartered in Spokane, Washington.",28400000,USD,28400000,Early Stage Venture,In Contact
Red Balloon Security,https://www.crunchbase.com/organization/red-balloon-secrurity,"Cyber Security, Embedded Systems, Internet of Things, Network Security","New York, New York, United States",Red Balloon Security is an embedded device security research and development firm.,"9,076",2011-01-01,year,http://www.redballoonsecurity.com/,info@redballoonsecurity.com,"Red Balloon Security is exclusively focused on the development of robust security solutions for embedded device systems across all major industries, including consumer electronics, automobiles, manufacturing/industrial systems, building controllers, homeland security, military, etc. Founded by Ang Cui, Red Balloon Security’s core technology is Symbiote Defense, a universally-compatible, OS-agnostic, real-time host-based intrusion defense system which is capable of protecting any embedded device from malware and malicious commands. Symbiote is a patented technology that already protects millions of devices around the world, and has logged more than 15 billion hours of runtime without a single recorded failure. It is currently under contract for use by the US government, as well as critical infrastructure and consumer devices, like HP LaserJet printers.",21900000,USD,21900000,Early Stage Venture,In Contact
Onegini,https://www.crunchbase.com/organization/onegini,"Banking, Cyber Security, Developer APIs, Developer Tools, Financial Services, FinTech, Identity Management, Insurance, Mobile, Security","Woerden, Zuid-Holland, The Netherlands","Onegini protects the personal data of customers and allows secure transactions, using any device any time.","23,404",2011-01-01,year,https://www.onegini.com,info@onegini.com,"Onegini empowers financial organizations to accelerate digital transformation by providing out-of-the-box software to get customers online. The digital platform will connect, manage, and engage customers in a frictionless way Large insurance companies and banks around the world use Onegini’s price winning platform to truly engage with customers across all digital channels. For Aegon, Onegini created the first Secure Social Login solution in the financial services and insurance industry worldwide. This resulted in more than 80% of customers online and engaged within the first 3 years. In 2016 Infosys Finacle (NYSE: INFY) and Onegini announced a partnership to integrate the Onegini Mobile Security Platform with Finacle banking solutions. Other clients include VGZ, Transamerica, Univé, RBL Bank, Van Lanschot Bank, Proximus, Coolblue, CFG Bank and many more Onegini was founded on 2011 and is headquartered in The Netherlands.",1500000,EUR,1585427,Early Stage Venture,In Contact
AppGuard,https://www.crunchbase.com/organization/appguard,"Computer, Cyber Security, Information Technology, Network Security, Software","New York, New York, United States",AppGuard is a revolutionary new approach to prevent breaches from threats that traditional anti-virus software.,"37,895",2011-01-01,year,https://www.appguard.us/,,"AppGuard is a revolutionary new approach to prevent breaches from threats that traditional anti-virus software is not equipped to face, including fileless malware, botnets, polymorphic malware, weaponized documents, targeted attacks, in-memory attacks, ransomware, phishing, watering-holes, drive-by-downloads, and other undetectable advanced threats.   It automatically and dynamically stops an attack at its initial stages and beyond without requiring detection of the attack, disrupting the user experience, or degrading system performance. It generates valuable Indicators of Attack (IOA) alerts without a compromise occurring. AppGuard is compatible with all Windows versions from XP to 10, standard and custom applications, and typical system maintenance tools, and supports Windows Server 2008 R2 and above.",80000000,USD,80000000,Early Stage Venture,New
Ionic Security,https://www.crunchbase.com/organization/ionic-security,"Cyber Security, Information Technology, Intellectual Property, Security","Atlanta, Georgia, United States","Ionic Security, a data security platform, provides access control, intellectual property monitoring, data encryption, and policy management.","3,159",2011-05-04,day,https://ionicsecurity.com/,info@ionicsecurity.com,"Ionic Security (formerly Social Fortress) enables the use of cloud services by protecting sensitive data anywhere it travels and wherever it resides, whether on the corporate network, in the cloud or on mobile devices. The first unified data security platform of its kind, Ionic Security takes a comprehensive approach to securing data in today’s borderless enterprise by providing access control, intellectual property monitoring, data encryption and policy management, without proxies or gateways or changes  in user behavior. The company is headquartered in Atlanta, Georgia, and is backed by leading venture firms such as Kleiner Perkins Caufield & Byers, Google Ventures, TechOperators and ff VC as well as industry experts Christopher Klaus, Ken Levine, Phil Dunkelberger and Dr. Paul Judge.",162440001,USD,162440001,Late Stage Venture,In Contact
Digital Shadows,https://www.crunchbase.com/organization/digital-shadows,"Analytics, Artificial Intelligence, Cyber Security, Risk Management","San Francisco, California, United States","Protect your organization against digital risks across the open, deep, and dark web.",512,2011-05-17,day,https://www.digitalshadows.com,info@digitalshadows.com,"Digital Shadows has proven that their digital risk management service is incredibly valuable, providing my security teams with context, prioritization, recommended actions, and even remediation options to dramatically reduce risk to Sophos.",58000000,USD,58000000,Late Stage Venture,In Contact
DaoliCloud,https://www.crunchbase.com/organization/daolicloud-information-technology-beijing-co-ltd,"Cyber Security, Enterprise Software, Security","Haidian, Beijing, China",DaoliCloud is a Chinese high-tech startup providing innovative technologies and solutions for internet security-related issues.,"102,715",2011-07-01,day,http://www.daolicloud.com,,"DaoliCloud Information Technology (Beijing) Co., Ltd. (道里云) is a Chinese high-tech startup. The company provides innovative technologies and solutions for cloud computing, network virtualization, mobile internet security, and information security. It has a number of technical patents for invention that have been applied for technical patents, and they have been accepted in China and America. DaoliCloud Information Technology was founded in July 2011, in Zhongguancun, China.",811820,USD,811820,Early Stage Venture,New
Cybereason,https://www.crunchbase.com/organization/cybereason,"Computer, Cyber Security, Enterprise Software, Intrusion Detection, Network Security, Real Time","Boston, Massachusetts, United States",Cybereason is an endpoint detection and response platform that identifies cyber attacks for effective response.,73,2012-01-01,year,http://www.cybereason.com,info@cybereason.com,"Cybereason is the leader in endpoint protection, offering endpoint detection and response, next-generation antivirus, and managed monitoring services. Founded by elite intelligence professionals born and bred in offense-first hunting, Cybereason gives enterprises the upper hand over cyber adversaries. The Cybereason platform is powered by a custom-built in-memory graph, the only truly automated hunting engine anywhere. It detects behavioral patterns across every endpoint and surfaces malicious operations in an exceptionally user-friendly interface. Cybereason is privately held and headquartered in Boston with offices in London, Tel Aviv, and Tokyo.",388600000,USD,388600000,Late Stage Venture,In Contact
Teralytics,https://www.crunchbase.com/organization/teralytics,"Artificial Intelligence, Business Intelligence, Cyber Security, Data Visualization, Predictive Analytics, Transportation","Zürich, Zurich, Switzerland","Teralytics develops big data analytics based on petabytes of data sourced from credit card operators, CRM, and mobile networks.",756,2012-01-01,year,http://www.teralytics.net,info@teralytics.net,"Teralytics develops big data analytics based on petabytes of data sourced from credit card operators, CRM, and mobile networks. It also offers the most advanced insights on human mobility based on cutting edge data science, proprietary machine learning algorithms and deep technology, capturing billions of aggregated signals every day from cell towers and other unique sources.   Teralytics works with leading telecom companies and data partners around the globe to inform smart cities and smart mobility providers with unprecedented location, movement and demographic insights. They also deliver insights into human location, movement, and behavior They are a diverse group of highly skilled data scientists, software engineers and business people located in New York, Zurich and Singapore offices. They pride ourselves in a collaborative environment where you take responsibility from day one. Teralytics was founded in  2012 and is headquartered in Zurich, Switzerland with offices in New York and Singapore.",17500000,USD,17500000,Late Stage Venture,In Contact
TrapX Security,https://www.crunchbase.com/organization/trapx-security,"Cloud Security, Computer Vision, Cyber Security, Network Security, Real Time, Security","San Jose, California, United States","TrapX Security provides deception-based cyber security defense that rapidly detect, deceive, and defeat advanced cyber attacks.","1,050",2012-01-01,year,http://trapx.com/,info@trapx.com,"TrapX Security provides deception-based cyber security defense that rapidly detect, deceive, and defeat advanced cyber attacks, and human attackers in real time. It provides an automated security grid for adaptive deception and defense that intercepts real-time threats while delivering the actionable intelligence to block attackers. The company's product, DeceptionGrid, provides automated, highly accurate insight into malicious activity unseen by other types of cyber defenses. It enables Global 2000 enterprises to detect, capture, and analyze Zero Day malware in use by effective Advanced Persistent Threat organizations. The TrapX Security customer base includes global 2000 commercial and government customers around the world in sectors including defense, healthcare, finance, energy, consumer products and other key industries. The company was founded on 2012 and is headquartered in San Jose, California.",47710000,USD,47710000,Late Stage Venture,In Contact
Arctic Wolf Networks,https://www.crunchbase.com/organization/arctic-wolf-networks,"Big Data, Cyber Security, Network Security","Sunnyvale, California, United States",Arctic Wolf provides a managed detection & response security service that works as an extension of your IT Security team.,"2,236",2012-01-01,year,http://arcticwolf.com,ask@arcticwolf.com,"Arctic Wolf Networks provides security operations center (SOC)-as-a-service that makes every link in the security chain stronger. The turnkey service is anchored by Concierge Security engineers and includes a cloud-based SIEM. The service monitors both on-premises and cloud environments to detect and respond to cyberthreats. With no upfront costs or long term contracts, even the smallest companies can have the peace of mind that comes with vigilant cybersecurity.",88200000,USD,88200000,Late Stage Venture,In Contact
Callsign,https://www.crunchbase.com/organization/callsign,"Artificial Intelligence, Computer, Cyber Security, Machine Learning, Network Security","London, England, United Kingdom",Callsign is an intelligence driven authentication.,"3,176",2012-01-01,year,http://www.callsign.com,info@callsign.com,"Callsign has built a secure mobile multi-factor authentication and authorisation engine, through the introduction of patented machine-learning biometric, behavioural, geo-location and identity analysis, combined with traditional methods. Designed for the Financial Services and IOT markets, Callsign’s crypto-engine provides unparalleled security across the enterprise, retail and consumer sectors to enable secure access, and to combat real-time phishing, Man-in-the-Middle and malware threats. Their pre-defined API connectors simplify integration into existing directory and fraud solutions, enabling highly configurable, seamless and secure access that replaces costly and unpopular device-based solutions.",38750000,USD,38750000,Early Stage Venture,In Contact
White Ops,https://www.crunchbase.com/organization/white-ops,"Cyber Security, Internet, Security, Software","New York, New York, United States",White Ops is a cybersecurity company that protects the internet from malicious bots.,"4,332",2012-01-01,year,http://www.whiteops.com,marketing@whiteops.com,"White Ops is a pioneer in the detection of and systematic defense against bot and malware fraud, providing advertisers and enterprise businesses with the tools they need to eliminate fraud, raise their bottom lines and ensure the success of their campaigns and the security of their systems and data. White Ops differentiates between bot and human interaction in online advertising and publishing, enterprise business networks, e-commerce transactions, financial systems and more, allowing clients to remove and prevent fraudulent traffic and activity. White Ops makes bot and malware fraud unprofitable and unsustainable for the cyber criminals who ultimately profit from it — an economic strategy that will eventually eradicate this type of fraud.",31000000,USD,31000000,Early Stage Venture,New
UpGuard,https://www.crunchbase.com/organization/upguard,"Cyber Security, Enterprise Software, Insurance, Intelligent Systems, Test and Measurement","San Francisco, California, United States","UpGuard is a cyber resilience platform, designed to proactively assess and manage the business risks posed by technology.","6,350",2012-01-01,year,https://www.upguard.com/,press@upguard.com,"UpGuard's proprietary technology tests an organization's IT infrastructure both internally and externally and calculates the potential risk for future intrusions and outages. Upon evaluating the ongoing configuration state of every server and network device, companies are given an easy-to-understand score called CSTAR — a single number which indicates to IT staff as well as their executives their risk level for data breaches. An organization's CSTAR score can even be used by corporate insurers in creating a cybersecurity insurance policy. Thousands of companies, including ADP, E*TRADE and Cisco Systems, use UpGuard to validate infrastructure, continuously detect risks and procure cybersecurity insurance. UpGuard is headquartered in Mountain View, CA with offices in Portland, OR. To see how UpGuard works, or to get your CSTAR rating, visit www.upguard.com.",28425222,USD,28425222,Early Stage Venture,In Contact
